species,genomes,superkingdom,doubling_h,growth_tmp,Representative.genome
Aeromonas salmonicida,RS_GCF_001902055.1,Bacteria,8.18,28.2,RS_GCF_001643305.1
Aeromonas salmonicida,RS_GCF_019443825.1,Bacteria,8.18,28.2,RS_GCF_001643305.1
Aeromonas salmonicida,RS_GCF_003947355.1,Bacteria,8.18,28.2,RS_GCF_001643305.1
Aeromonas salmonicida,RS_GCF_000786805.1,Bacteria,8.18,28.2,RS_GCF_001643305.1
Aeromonas salmonicida,RS_GCF_009858135.1,Bacteria,8.18,28.2,RS_GCF_001643305.1
Aeromonas salmonicida,RS_GCF_001643305.1,Bacteria,8.18,28.2,RS_GCF_001643305.1
Alcanivorax borkumensis,RS_GCF_027024085.1,Bacteria,2.01,20,RS_GCF_000009365.1
Alcanivorax borkumensis,RS_GCF_913058525.1,Bacteria,2.01,20,RS_GCF_000009365.1
Alcanivorax borkumensis,RS_GCF_000524665.1,Bacteria,2.01,20,RS_GCF_000009365.1
Alcanivorax borkumensis,RS_GCF_002837115.1,Bacteria,2.01,20,RS_GCF_000009365.1
Alcanivorax borkumensis,RS_GCF_000009365.1,Bacteria,2.01,20,RS_GCF_000009365.1
Algoriphagus alkaliphilus,GB_GCA_013823925.1,Bacteria,4.9,29.7,RS_GCF_900103735.1
Algoriphagus alkaliphilus,RS_GCF_900103735.1,Bacteria,4.9,29.7,RS_GCF_900103735.1
Aliarcobacter butzleri,RS_GCF_030441405.1,Bacteria,1.22,30,RS_GCF_900187115.1
Aliarcobacter butzleri,RS_GCF_902500645.1,Bacteria,1.22,30,RS_GCF_900187115.1
Aliarcobacter butzleri,RS_GCF_001010665.1,Bacteria,1.22,30,RS_GCF_900187115.1
Aliarcobacter butzleri,RS_GCF_902500485.1,Bacteria,1.22,30,RS_GCF_900187115.1
Aliarcobacter butzleri,RS_GCF_022112765.1,Bacteria,1.22,30,RS_GCF_900187115.1
Aliarcobacter butzleri,RS_GCF_900187115.1,Bacteria,1.22,30,RS_GCF_900187115.1
Alicyclobacillus acidocaldarius,RS_GCF_000024285.1,Bacteria,0.38,65.1,RS_GCF_000024285.1
Alicyclobacillus acidoterrestris,RS_GCF_000444055.1,Bacteria,1,50,RS_GCF_022674245.1
Alicyclobacillus acidoterrestris,RS_GCF_022674245.1,Bacteria,1,50,RS_GCF_022674245.1
Alicyclobacillus hesperidum,RS_GCF_000294675.1,Bacteria,0.54,52.4,RS_GCF_900107035.1
Alicyclobacillus hesperidum,RS_GCF_030161355.1,Bacteria,0.54,52.4,RS_GCF_900107035.1
Alicyclobacillus hesperidum,RS_GCF_900107035.1,Bacteria,0.54,52.4,RS_GCF_900107035.1
Alicyclobacillus_A pomorum,RS_GCF_000472905.1,Bacteria,1.5,47.5,RS_GCF_000472905.1
Aliivibrio fischeri,RS_GCF_001730155.1,Bacteria,0.5,25,RS_GCF_023983475.1
Aliivibrio fischeri,RS_GCF_009727735.1,Bacteria,0.5,25,RS_GCF_023983475.1
Aliivibrio fischeri,RS_GCF_001730145.1,Bacteria,0.5,25,RS_GCF_023983475.1
Aliivibrio fischeri,RS_GCF_000241785.1,Bacteria,0.5,25,RS_GCF_023983475.1
Aliivibrio fischeri,RS_GCF_001691015.1,Bacteria,0.5,25,RS_GCF_023983475.1
Aliivibrio fischeri,RS_GCF_023983475.1,Bacteria,0.5,25,RS_GCF_023983475.1
Alkaliphilus transvaalensis,RS_GCF_000621485.1,Bacteria,0.7,40,RS_GCF_000621485.1
Alkalispirochaeta alkalica,RS_GCF_000373545.1,Bacteria,6,37,RS_GCF_000373545.1
Alkalispirochaeta alkalica,RS_GCF_002916695.1,Bacteria,6,37,RS_GCF_000373545.1
Alkalispirochaeta americana,RS_GCF_900156105.1,Bacteria,5,37,RS_GCF_900156105.1
Allisonella histaminiformans,RS_GCF_022770225.1,Bacteria,1.83,39,RS_GCF_900103425.1
Allisonella histaminiformans,RS_GCF_958424005.1,Bacteria,1.83,39,RS_GCF_900103425.1
Allisonella histaminiformans,GB_GCA_958405805.1,Bacteria,1.83,39,RS_GCF_900103425.1
Allisonella histaminiformans,RS_GCF_900103425.1,Bacteria,1.83,39,RS_GCF_900103425.1
Allisonella histaminiformans,RS_GCF_937976185.1,Bacteria,1.83,39,RS_GCF_900103425.1
Ammonifex degensii,RS_GCF_000024605.1,Bacteria,1.9,69.9,RS_GCF_000024605.1
Anaerobacillus alkalilacustris,RS_GCF_001866005.1,Bacteria,2.1,32.5,RS_GCF_001866005.1
Anaerobranca gottschalkii,RS_GCF_900111575.1,Bacteria,0.8,55.3,RS_GCF_900111575.1
Anaerocolumna jejuensis,GB_GCA_023391965.1,Bacteria,10.5,30,RS_GCF_900142215.1
Anaerocolumna jejuensis,RS_GCF_900142215.1,Bacteria,10.5,30,RS_GCF_900142215.1
Anaerolinea thermolimosa,RS_GCF_001050195.2,Bacteria,48,50,RS_GCF_001050195.2
Anaerolinea thermophila,RS_GCF_000199675.1,Bacteria,72,55,RS_GCF_000199675.1
Anaeromyxobacter dehalogenans_B,RS_GCF_000013385.1,Bacteria,9.2,30,RS_GCF_000013385.1
Anaplasma marginale,RS_GCF_003331125.1,Bacteria,21.6,37,RS_GCF_000215485.1
Anaplasma marginale,RS_GCF_008690255.1,Bacteria,21.6,37,RS_GCF_000215485.1
Anaplasma marginale,RS_GCF_000495535.1,Bacteria,21.6,37,RS_GCF_000215485.1
Anaplasma marginale,GB_GCA_002849345.1,Bacteria,21.6,37,RS_GCF_000215485.1
Anaplasma marginale,RS_GCF_000215525.1,Bacteria,21.6,37,RS_GCF_000215485.1
Anaplasma marginale,RS_GCF_000215485.1,Bacteria,21.6,37,RS_GCF_000215485.1
Anaplasma phagocytophilum,RS_GCF_000964745.1,Bacteria,7,37,RS_GCF_000964685.1
Anaplasma phagocytophilum,RS_GCF_000964985.1,Bacteria,7,37,RS_GCF_000964685.1
Anaplasma phagocytophilum,RS_GCF_000964725.1,Bacteria,7,37,RS_GCF_000964685.1
Anaplasma phagocytophilum,GB_GCA_900088665.2,Bacteria,7,37,RS_GCF_000964685.1
Anaplasma phagocytophilum,RS_GCF_000689615.1,Bacteria,7,37,RS_GCF_000964685.1
Anaplasma phagocytophilum,RS_GCF_000964685.1,Bacteria,7,37,RS_GCF_000964685.1
Andreesenia angusta,RS_GCF_001855385.1,Bacteria,0.75,37,RS_GCF_001855385.1
Anoxybacillus pushchinoensis,RS_GCF_019448545.1,Bacteria,2.46,61.9,RS_GCF_900111795.1
Anoxybacillus pushchinoensis,RS_GCF_900111795.1,Bacteria,2.46,61.9,RS_GCF_900111795.1
Aquifex aeolicus,RS_GCF_000008625.1,Bacteria,1.4,85,RS_GCF_000008625.1
Aromatoleum aromaticum,RS_GCF_000025965.1,Bacteria,8,31,RS_GCF_000025965.1
Aromatoleum aromaticum,RS_GCF_012910915.1,Bacteria,8,31,RS_GCF_000025965.1
Aromatoleum aromaticum,RS_GCF_023704195.1,Bacteria,8,31,RS_GCF_000025965.1
Azotobacter chroococcum,RS_GCF_004327885.1,Bacteria,0.45,NA,RS_GCF_004339665.1
Azotobacter chroococcum,RS_GCF_016406165.1,Bacteria,0.45,NA,RS_GCF_004339665.1
Azotobacter chroococcum,RS_GCF_002220155.1,Bacteria,0.45,NA,RS_GCF_004339665.1
Azotobacter chroococcum,RS_GCF_005144545.1,Bacteria,0.45,NA,RS_GCF_004339665.1
Azotobacter chroococcum,RS_GCF_004327955.1,Bacteria,0.45,NA,RS_GCF_004339665.1
Azotobacter chroococcum,RS_GCF_004339665.1,Bacteria,0.45,NA,RS_GCF_004339665.1
Bacillus haynesii,RS_GCF_026789745.1,Bacteria,0.58,37,RS_GCF_001969855.1
Bacillus haynesii,RS_GCF_026792995.1,Bacteria,0.58,37,RS_GCF_001969855.1
Bacillus haynesii,RS_GCF_026791395.1,Bacteria,0.58,37,RS_GCF_001969855.1
Bacillus haynesii,RS_GCF_026788405.1,Bacteria,0.58,37,RS_GCF_001969855.1
Bacillus haynesii,RS_GCF_026792315.1,Bacteria,0.58,37,RS_GCF_001969855.1
Bacillus haynesii,RS_GCF_001969855.1,Bacteria,0.58,37,RS_GCF_001969855.1
Bacillus subtilis,RS_GCF_012926045.1,Bacteria,0.46,65,RS_GCF_000009045.1
Bacillus subtilis,RS_GCF_015881035.1,Bacteria,0.46,65,RS_GCF_000009045.1
Bacillus subtilis,RS_GCF_001286865.1,Bacteria,0.46,65,RS_GCF_000009045.1
Bacillus subtilis,RS_GCF_020552665.1,Bacteria,0.46,65,RS_GCF_000009045.1
Bacillus subtilis,RS_GCF_001704095.1,Bacteria,0.46,65,RS_GCF_000009045.1
Bacillus subtilis,RS_GCF_000009045.1,Bacteria,0.46,65,RS_GCF_000009045.1
Bacillus velezensis,RS_GCF_013284825.1,Bacteria,0.924196240746594,37,RS_GCF_001461825.1
Bacillus velezensis,RS_GCF_015277495.1,Bacteria,0.924196240746594,37,RS_GCF_001461825.1
Bacillus velezensis,RS_GCF_002237975.1,Bacteria,0.924196240746594,37,RS_GCF_001461825.1
Bacillus velezensis,RS_GCF_019334525.1,Bacteria,0.924196240746594,37,RS_GCF_001461825.1
Bacillus velezensis,RS_GCF_002741705.1,Bacteria,0.924196240746594,37,RS_GCF_001461825.1
Bacillus velezensis,RS_GCF_001461825.1,Bacteria,0.924196240746594,37,RS_GCF_001461825.1
Bacillus_A anthracis,RS_GCF_017814285.1,Bacteria,1.51,40,RS_GCF_000742895.1
Bacillus_A anthracis,RS_GCF_021655355.1,Bacteria,1.51,40,RS_GCF_000742895.1
Bacillus_A anthracis,RS_GCF_001273085.1,Bacteria,1.51,40,RS_GCF_000742895.1
Bacillus_A anthracis,RS_GCF_028751175.1,Bacteria,1.51,40,RS_GCF_000742895.1
Bacillus_A anthracis,RS_GCF_001677305.1,Bacteria,1.51,40,RS_GCF_000742895.1
Bacillus_A anthracis,RS_GCF_000742895.1,Bacteria,1.51,40,RS_GCF_000742895.1
Bacillus_A cereus,RS_GCF_003343425.1,Bacteria,0.24,NA,RS_GCF_000007825.1
Bacillus_A cereus,GB_GCA_005287935.1,Bacteria,0.24,NA,RS_GCF_000007825.1
Bacillus_A cereus,RS_GCF_006094295.1,Bacteria,0.24,NA,RS_GCF_000007825.1
Bacillus_A cereus,RS_GCF_024712565.1,Bacteria,0.24,NA,RS_GCF_000007825.1
Bacillus_A cereus,RS_GCF_001913635.1,Bacteria,0.24,NA,RS_GCF_000007825.1
Bacillus_A cereus,RS_GCF_000007825.1,Bacteria,0.24,NA,RS_GCF_000007825.1
Bacillus_A mycoides,RS_GCF_918192685.1,Bacteria,0.466666666666667,NA,RS_GCF_000832605.1
Bacillus_A mycoides,GB_GCA_016651195.1,Bacteria,0.466666666666667,NA,RS_GCF_000832605.1
Bacillus_A mycoides,RS_GCF_002014505.1,Bacteria,0.466666666666667,NA,RS_GCF_000832605.1
Bacillus_A mycoides,RS_GCF_018741505.1,Bacteria,0.466666666666667,NA,RS_GCF_000832605.1
Bacillus_A mycoides,RS_GCF_000775975.1,Bacteria,0.466666666666667,NA,RS_GCF_000832605.1
Bacillus_A mycoides,RS_GCF_000832605.1,Bacteria,0.466666666666667,NA,RS_GCF_000832605.1
Bacillus_A thuringiensis_S,RS_GCF_003545675.1,Bacteria,0.43,28,RS_GCF_000021305.1
Bacillus_A thuringiensis_S,GB_GCA_009646795.1,Bacteria,0.43,28,RS_GCF_000021305.1
Bacillus_A thuringiensis_S,RS_GCF_005217675.1,Bacteria,0.43,28,RS_GCF_000021305.1
Bacillus_A thuringiensis_S,RS_GCF_002568285.1,Bacteria,0.43,28,RS_GCF_000021305.1
Bacillus_A thuringiensis_S,RS_GCF_016483355.1,Bacteria,0.43,28,RS_GCF_000021305.1
Bacillus_A thuringiensis_S,RS_GCF_000021305.1,Bacteria,0.43,28,RS_GCF_000021305.1
Bacteroides fragilis,RS_GCF_030223255.1,Bacteria,0.44,35,RS_GCF_000025985.1
Bacteroides fragilis,RS_GCF_000598985.1,Bacteria,0.44,35,RS_GCF_000025985.1
Bacteroides fragilis,GB_GCA_013327815.1,Bacteria,0.44,35,RS_GCF_000025985.1
Bacteroides fragilis,RS_GCF_000599345.1,Bacteria,0.44,35,RS_GCF_000025985.1
Bacteroides fragilis,RS_GCF_020256865.1,Bacteria,0.44,35,RS_GCF_000025985.1
Bacteroides fragilis,RS_GCF_000025985.1,Bacteria,0.44,35,RS_GCF_000025985.1
Bacteroides thetaiotaomicron,RS_GCF_016760065.1,Bacteria,1.47,37,RS_GCF_000011065.1
Bacteroides thetaiotaomicron,RS_GCF_020179455.1,Bacteria,1.47,37,RS_GCF_000011065.1
Bacteroides thetaiotaomicron,GB_GCA_948725195.1,Bacteria,1.47,37,RS_GCF_000011065.1
Bacteroides thetaiotaomicron,RS_GCF_021531575.1,Bacteria,1.47,37,RS_GCF_000011065.1
Bacteroides thetaiotaomicron,GB_GCA_948806095.1,Bacteria,1.47,37,RS_GCF_000011065.1
Bacteroides thetaiotaomicron,RS_GCF_000011065.1,Bacteria,1.47,37,RS_GCF_000011065.1
Balneola vulgaris,RS_GCF_000375465.1,Bacteria,3.14,30,RS_GCF_000375465.1
Bartonella henselae,RS_GCF_021560445.1,Bacteria,3,34,RS_GCF_000046705.1
Bartonella henselae,RS_GCF_001932135.1,Bacteria,3,34,RS_GCF_000046705.1
Bartonella henselae,RS_GCF_030386185.1,Bacteria,3,34,RS_GCF_000046705.1
Bartonella henselae,RS_GCF_001932095.1,Bacteria,3,34,RS_GCF_000046705.1
Bartonella henselae,RS_GCF_000516695.1,Bacteria,3,34,RS_GCF_000046705.1
Bartonella henselae,RS_GCF_000046705.1,Bacteria,3,34,RS_GCF_000046705.1
Bartonella quintana,RS_GCF_000708985.1,Bacteria,6,37,RS_GCF_009936175.1
Bartonella quintana,RS_GCF_024731485.1,Bacteria,6,37,RS_GCF_009936175.1
Bartonella quintana,RS_GCF_000708965.1,Bacteria,6,37,RS_GCF_009936175.1
Bartonella quintana,RS_GCF_000294715.1,Bacteria,6,37,RS_GCF_009936175.1
Bartonella quintana,RS_GCF_000708815.1,Bacteria,6,37,RS_GCF_009936175.1
Bartonella quintana,RS_GCF_009936175.1,Bacteria,6,37,RS_GCF_009936175.1
Basfia succiniciproducens,RS_GCF_000007745.1,Bacteria,0.6,NA,RS_GCF_011455875.1
Basfia succiniciproducens,RS_GCF_011455875.1,Bacteria,0.6,NA,RS_GCF_011455875.1
Basfia succiniciproducens,RS_GCF_900101275.1,Bacteria,0.6,NA,RS_GCF_011455875.1
Basfia succiniciproducens,RS_GCF_900110905.1,Bacteria,0.6,NA,RS_GCF_011455875.1
Bdellovibrio bacteriovorus,RS_GCF_000196175.1,Bacteria,1.4,30,RS_GCF_000196175.1
Bdellovibrio bacteriovorus,RS_GCF_000691605.1,Bacteria,1.4,30,RS_GCF_000196175.1
Bellilinea caldifistulae,RS_GCF_001050215.2,Bacteria,45,55,RS_GCF_001306055.1
Bellilinea caldifistulae,RS_GCF_001306055.1,Bacteria,45,55,RS_GCF_001306055.1
Bifidobacterium longum,RS_GCF_014900535.1,Bacteria,1.51,37,RS_GCF_000196555.1
Bifidobacterium longum,RS_GCF_016759655.1,Bacteria,1.51,37,RS_GCF_000196555.1
Bifidobacterium longum,RS_GCF_001940535.1,Bacteria,1.51,37,RS_GCF_000196555.1
Bifidobacterium longum,RS_GCF_019128695.1,Bacteria,1.51,37,RS_GCF_000196555.1
Bifidobacterium longum,RS_GCF_002833125.1,Bacteria,1.51,37,RS_GCF_000196555.1
Bifidobacterium longum,RS_GCF_000196555.1,Bacteria,1.51,37,RS_GCF_000196555.1
Blautia_A hydrogenotrophica,RS_GCF_000157975.1,Bacteria,1.8,37,RS_GCF_000157975.1
Blautia_A hydrogenotrophica,RS_GCF_959019635.1,Bacteria,1.8,37,RS_GCF_000157975.1
Blautia_A hydrogenotrophica,GB_GCA_959023695.1,Bacteria,1.8,37,RS_GCF_000157975.1
Blautia_A hydrogenotrophica,RS_GCF_025289255.1,Bacteria,1.8,37,RS_GCF_000157975.1
Blautia_A hydrogenotrophica,RS_GCF_937980715.1,Bacteria,1.8,37,RS_GCF_000157975.1
Bordetella pertussis,RS_GCF_001605055.1,Bacteria,1.33,37,RS_GCF_000306945.1
Bordetella pertussis,RS_GCF_001704255.1,Bacteria,1.33,37,RS_GCF_000306945.1
Bordetella pertussis,RS_GCF_001193155.1,Bacteria,1.33,37,RS_GCF_000306945.1
Bordetella pertussis,RS_GCF_001986085.1,Bacteria,1.33,37,RS_GCF_000306945.1
Bordetella pertussis,RS_GCF_001196395.1,Bacteria,1.33,37,RS_GCF_000306945.1
Bordetella pertussis,RS_GCF_000306945.1,Bacteria,1.33,37,RS_GCF_000306945.1
Borreliella burgdorferi,RS_GCF_024662155.1,Bacteria,4,33,RS_GCF_000008685.2
Borreliella burgdorferi,GB_GCA_000502075.1,Bacteria,4,33,RS_GCF_000008685.2
Borreliella burgdorferi,RS_GCF_002995935.1,Bacteria,4,33,RS_GCF_000008685.2
Borreliella burgdorferi,RS_GCF_021043505.1,Bacteria,4,33,RS_GCF_000008685.2
Borreliella burgdorferi,RS_GCF_002151485.1,Bacteria,4,33,RS_GCF_000008685.2
Borreliella burgdorferi,RS_GCF_000008685.2,Bacteria,4,33,RS_GCF_000008685.2
Bradyrhizobium diazoefficiens,RS_GCF_014163475.1,Bacteria,20,28,RS_GCF_000011365.1
Bradyrhizobium diazoefficiens,RS_GCF_000011365.1,Bacteria,20,28,RS_GCF_000011365.1
Bradyrhizobium diazoefficiens,GB_GCA_946404825.1,Bacteria,20,28,RS_GCF_000011365.1
Bradyrhizobium diazoefficiens,GB_GCA_017831985.1,Bacteria,20,28,RS_GCF_000011365.1
Bradyrhizobium diazoefficiens,RS_GCF_028128655.1,Bacteria,20,28,RS_GCF_000011365.1
Bradyrhizobium japonicum,RS_GCF_024170925.1,Bacteria,11.9921657536323,28,RS_GCF_000284375.1
Bradyrhizobium japonicum,RS_GCF_018130365.1,Bacteria,11.9921657536323,28,RS_GCF_000284375.1
Bradyrhizobium japonicum,RS_GCF_025961095.1,Bacteria,11.9921657536323,28,RS_GCF_000284375.1
Bradyrhizobium japonicum,RS_GCF_013752735.1,Bacteria,11.9921657536323,28,RS_GCF_000284375.1
Bradyrhizobium japonicum,RS_GCF_000261585.1,Bacteria,11.9921657536323,28,RS_GCF_000284375.1
Bradyrhizobium japonicum,RS_GCF_000284375.1,Bacteria,11.9921657536323,28,RS_GCF_000284375.1
Brevibacillus_B laterosporus,RS_GCF_015845945.1,Bacteria,1.93,36.5,RS_GCF_002706795.1
Brevibacillus_B laterosporus,RS_GCF_024742015.1,Bacteria,1.93,36.5,RS_GCF_002706795.1
Brevibacillus_B laterosporus,RS_GCF_015845895.1,Bacteria,1.93,36.5,RS_GCF_002706795.1
Brevibacillus_B laterosporus,RS_GCF_002419105.1,Bacteria,1.93,36.5,RS_GCF_002706795.1
Brevibacillus_B laterosporus,RS_GCF_006438615.1,Bacteria,1.93,36.5,RS_GCF_002706795.1
Brevibacillus_B laterosporus,RS_GCF_002706795.1,Bacteria,1.93,36.5,RS_GCF_002706795.1
Brochothrix thermosphacta,RS_GCF_001715795.1,Bacteria,0.48,25,RS_GCF_000620985.1
Brochothrix thermosphacta,RS_GCF_002442515.1,Bacteria,0.48,25,RS_GCF_000620985.1
Brochothrix thermosphacta,RS_GCF_001715785.1,Bacteria,0.48,25,RS_GCF_000620985.1
Brochothrix thermosphacta,RS_GCF_000620985.1,Bacteria,0.48,25,RS_GCF_000620985.1
Brochothrix thermosphacta,RS_GCF_001715715.1,Bacteria,0.48,25,RS_GCF_000620985.1
Brucella melitensis,RS_GCF_001043295.1,Bacteria,2,37,RS_GCF_000007125.1
Brucella melitensis,RS_GCF_001866335.1,Bacteria,2,37,RS_GCF_000007125.1
Brucella melitensis,RS_GCF_000365585.1,Bacteria,2,37,RS_GCF_000007125.1
Brucella melitensis,RS_GCF_002192155.1,Bacteria,2,37,RS_GCF_000007125.1
Brucella melitensis,RS_GCF_000365905.1,Bacteria,2,37,RS_GCF_000007125.1
Brucella melitensis,RS_GCF_000007125.1,Bacteria,2,37,RS_GCF_000007125.1
Buchnera aphidicola_P,RS_GCF_003096055.1,Bacteria,35.4,24,RS_GCF_003096055.1
Burkholderia mallei,RS_GCF_001321465.1,Bacteria,0.65,37,RS_GCF_000011705.1
Burkholderia mallei,RS_GCF_001445915.1,Bacteria,0.65,37,RS_GCF_000011705.1
Burkholderia mallei,RS_GCF_000773145.1,Bacteria,0.65,37,RS_GCF_000011705.1
Burkholderia mallei,RS_GCF_001976655.1,Bacteria,0.65,37,RS_GCF_000011705.1
Burkholderia mallei,RS_GCF_000774195.1,Bacteria,0.65,37,RS_GCF_000011705.1
Burkholderia mallei,RS_GCF_000011705.1,Bacteria,0.65,37,RS_GCF_000011705.1
CAG-245 sp000435175,GB_GCA_934842425.1,Bacteria,1,36.7,GB_GCA_000435175.1
CAG-245 sp000435175,GB_GCA_958349305.1,Bacteria,1,36.7,GB_GCA_000435175.1
CAG-245 sp000435175,GB_GCA_934183065.1,Bacteria,1,36.7,GB_GCA_000435175.1
CAG-245 sp000435175,GB_GCA_003150745.1,Bacteria,1,36.7,GB_GCA_000435175.1
CAG-245 sp000435175,GB_GCA_905204155.1,Bacteria,1,36.7,GB_GCA_000435175.1
CAG-245 sp000435175,GB_GCA_000435175.1,Bacteria,1,36.7,GB_GCA_000435175.1
Caldanaerobacter subterraneus,RS_GCF_000007085.1,Bacteria,1.06,74.9,RS_GCF_004345675.1
Caldanaerobacter subterraneus,RS_GCF_029982975.1,Bacteria,1.06,74.9,RS_GCF_004345675.1
Caldanaerobacter subterraneus,GB_GCA_014896475.1,Bacteria,1.06,74.9,RS_GCF_004345675.1
Caldanaerobacter subterraneus,RS_GCF_013004485.1,Bacteria,1.06,74.9,RS_GCF_004345675.1
Caldanaerobacter subterraneus,RS_GCF_003510725.1,Bacteria,1.06,74.9,RS_GCF_004345675.1
Caldanaerobacter subterraneus,RS_GCF_004345675.1,Bacteria,1.06,74.9,RS_GCF_004345675.1
Caldanaerobius polysaccharolyticus,RS_GCF_000427425.1,Bacteria,2.1,68,RS_GCF_000427425.1
Caldicellulosiruptor bescii,RS_GCF_900184125.1,Bacteria,1.18,77.9,RS_GCF_000022325.1
Caldicellulosiruptor bescii,RS_GCF_900168285.1,Bacteria,1.18,77.9,RS_GCF_000022325.1
Caldicellulosiruptor bescii,RS_GCF_002300375.1,Bacteria,1.18,77.9,RS_GCF_000022325.1
